Name,longitude,latitude
Merivale Bowling Centre,-75.7220269,45.3287276
4 Wheelies Ottawa Roller Skating Center,-75.781612,45.3527744
Skate & Play,-75.781612,45.3527744
Escape Manor - Downtown,-75.6896014,45.4167895
Room Escape Ottawa,-75.6638608,45.3692615
Jigsaw Escape Rooms,-75.6935911,45.4284714
Maître du Jeu - Escape Room,-75.7059271,45.4928997
Trapped Ottawa Escape Room & Bar,-75.6902934,45.4270011
Adventure City Games Ottawa - Downtown,-75.6989241,45.4295366
Unlocked Ottawa,-75.9083915,45.3354742
VRAdventures.ZONE,-75.732034,45.3455841
Escape Manor - Hintonburg,-75.7226734,45.4056578
Funhaven,-75.7806705,45.3538415
Canadian Museum of Nature / Musée canadien de la nature,-75.6886373,45.4127661
Canadian Museum of History,-75.7092006,45.4301581
Rideau Canal Skateway,-75.6939477,45.4231893
Canada Science and Technology Museum,-75.6189059,45.4035099
Canada Aviation and Space Museum,-75.6437866,45.4586167
Flying Squirrel Trampoline Park,-75.599935,45.4156267
Landmark Cinemas Kanata,-75.909035,45.309537
Cineplex Cinemas Lansdowne and VIP,-75.6835689,45.4007429
Cineplex Cinemas Ottawa,-75.8051544,45.3534898
Cineplex Odeon Barrhaven Cinemas,-75.740043,45.2691425
Cineplex Odeon South Keys Cinemas,-75.6537351,45.3523986
Landmark Cinemas Orléans,-75.5156874,45.4482225
ByTowne Cinema,-75.6847009,45.4295124
Cinéma Starcité Gatineau,-75.7752094,45.4340792
Ciné Starz St. Laurent Centre,-75.639492,45.4214596
Scotiabank Theatre Ottawa,-75.6134878,45.4313752
LumberJaxe: Axe Throwing Hall & Apparel,-75.7188617,45.4085209
Art Haven Ceramic Cafe | Paint Drink Fun,-75.7768433,45.2653838
The Mud Oven,-75.6828051,45.3930536
Color Me Mine,-75.8065581,45.3469493
Beechwood Pottery Studio,-75.6724924,45.4418855
Tailgators,-75.731482,45.3442767
Art Haven Ceramic Cafe | Paint Drink Fun,-75.7768433,45.2653838
Icelynd Skating Trails,-75.941844,45.2325934
Orange Monkey Bar & Billiards,-75.718892,45.408882
Gloucester Pottery School,-75.5116653,45.4804878
Crock A Doodle Ottawa-East,-75.6097947,45.4332449
BATL Axe Throwing,-75.610772,45.399075
Saunders Farm,-75.949131,45.1608509
LOAM Clay Studio,-75.7162239,45.4048575
Richmond Agricultural Society (Richmond Fair),-75.8387599,45.1946782
Mooney's Bay Beach,-75.692001,45.3661708
Britannia Beach,-75.8014626,45.3653197
Shirleys Bay Park,-75.8830223,45.3654647
Hintonburg Pottery,-75.7322566,45.3994489
Jack Pine Trail,-75.8156999,45.293294
19th Tee Driving Range & Mini Putt,-75.8781113,45.3457393
On The Green Family Golf Center,-75.6500993,45.246628
Rideau Carleton Casino,-75.605758,45.2951174
