name,count,latitude,longitude
2021S051210010165,500.0,47.525069,-52.778025
2021S051210010166,340.0,47.527321,-52.775091
2021S051210010167,407.0,47.52981,-52.772602
2021S051210010168,523.0,47.530304,-52.767003
2021S051210010169,285.0,47.53209,-52.769115
2021S051210010170,407.0,47.533538,-52.770853
2021S051210010171,461.0,47.533347,-52.774947
2021S051210010172,248.0,47.53384,-52.767589
2021S051210010173,808.0,47.539254,-52.76361
2021S051210010174,866.0,47.53667,-52.766083
2021S051210010175,971.0,47.535182,-52.760305
2021S051210010176,450.0,47.535294,-52.755209
2021S051210010180,518.0,47.514412,-52.76656
2021S051210010181,434.0,47.522181,-52.760802
2021S051210010182,399.0,47.519409,-52.762498
2021S051210010187,652.0,47.519245,-52.75047
2021S051210010191,675.0,47.548415,-52.708241
2021S051210010192,294.0,47.543364,-52.71093
2021S051210010193,451.0,47.545814,-52.713225
2021S051210010194,223.0,47.540591,-52.716469
2021S051210010195,621.0,47.539007,-52.729115
2021S051210010196,529.0,47.540628,-52.731876
2021S051210010198,407.0,47.543367,-52.73272
2021S051210010199,440.0,47.538977,-52.736851
2021S051210010200,369.0,47.542632,-52.738025
2021S051210010201,488.0,47.540038,-52.741241
2021S051210010202,440.0,47.539635,-52.746996
2021S051210010203,354.0,47.542246,-52.746816
2021S051210010204,553.0,47.536772,-52.748027
2021S051210010206,811.0,47.541911,-52.752192
2021S051210010207,1246.0,47.545343,-52.754195
2021S051210010208,1767.0,47.54876,-52.75865
2021S051210010209,482.0,47.551295,-52.745493
2021S051210010210,401.0,47.54658,-52.745414
2021S051210010211,641.0,47.544822,-52.738398
2021S051210010212,350.0,47.548687,-52.732817
2021S051210010213,604.0,47.545533,-52.728397
2021S051210010214,346.0,47.548771,-52.72657
2021S051210010215,383.0,47.547965,-52.724543
2021S051210010216,401.0,47.550828,-52.721174
2021S051210010217,370.0,47.5513,-52.726914
2021S051210010218,315.0,47.553387,-52.730077
2021S051210010219,576.0,47.550642,-52.736984
2021S051210010220,335.0,47.554347,-52.740002
2021S051210010221,554.0,47.556874,-52.731247
2021S051210010222,511.0,47.559124,-52.733717
2021S051210010223,495.0,47.56169,-52.727187
2021S051210010224,427.0,47.557857,-52.726646
2021S051210010225,247.0,47.559651,-52.725333
2021S051210010226,593.0,47.559641,-52.721795
2021S051210010227,349.0,47.56199,-52.718738
2021S051210010228,374.0,47.562938,-52.719247
2021S051210010229,449.0,47.564549,-52.722123
2021S051210010230,472.0,47.565755,-52.719051
2021S051210010231,486.0,47.56709,-52.723077
2021S051210010232,394.0,47.565926,-52.726974
2021S051210010233,389.0,47.567027,-52.72922
2021S051210010234,498.0,47.564171,-52.727255
2021S051210010235,287.0,47.564168,-52.733139
2021S051210010236,491.0,47.565393,-52.73574
2021S051210010237,506.0,47.567299,-52.735501
2021S051210010238,578.0,47.565789,-52.742702
2021S051210010239,569.0,47.562211,-52.738863
2021S051210010240,679.0,47.559039,-52.743881
2021S051210010241,481.0,47.557965,-52.741105
2021S051210010242,627.0,47.557599,-52.748272
2021S051210010243,1131.0,47.554174,-52.782904
2021S051210010244,749.0,47.561921,-52.764542
2021S051210010245,542.0,47.564496,-52.760263
2021S051210010246,450.0,47.564106,-52.753526
2021S051210010247,370.0,47.564834,-52.748299
2021S051210010248,373.0,47.563338,-52.74579
2021S051210010249,437.0,47.570523,-52.747701
2021S051210010250,473.0,47.570553,-52.727231
2021S051210010251,438.0,47.572405,-52.722952
2021S051210010252,522.0,47.575982,-52.719779
2021S051210010253,369.0,47.576786,-52.724415
2021S051210010254,753.0,47.586738,-52.719776
2021S051210010255,525.0,47.581192,-52.716963
2021S051210010256,446.0,47.584376,-52.711018
2021S051210010257,527.0,47.577335,-52.711415
2021S051210010258,585.0,47.578276,-52.708187
2021S051210010259,492.0,47.579363,-52.705807
2021S051210010260,402.0,47.585383,-52.703619
2021S051210010261,513.0,47.587958,-52.706225
2021S051210010262,429.0,47.59157,-52.706932
2021S051210010263,521.0,47.593317,-52.703163
2021S051210010264,454.0,47.595153,-52.707603
2021S051210010265,489.0,47.597887,-52.704522
2021S051210010266,670.0,47.598782,-52.701002
2021S051210010267,598.0,47.602756,-52.709741
2021S051210010268,294.0,47.60457,-52.712222
2021S051210010269,1071.0,47.609786,-52.711413
2021S051210010270,786.0,47.609671,-52.718577
2021S051210010271,460.0,47.612664,-52.69841
2021S051210010272,503.0,47.609751,-52.702292
2021S051210010273,1511.0,47.606241,-52.693753
2021S051210010276,266.0,47.598936,-52.69464
2021S051210010277,577.0,47.597373,-52.691063
